[[28758, 50000], [13438, 50000]]	,
[[28778, 50000], [13368, 50000]]	,
[[28768, 50000], [13376, 50000]]	,
[[28912, 50000], [13444, 50000]]	,
[[28995, 50000], [13467, 50000]]	,
[[28958, 50000], [13417, 50000]]	,
[[28877, 50000], [13382, 50000]]	,
[[28681, 50000], [13367, 50000]]	,
[[28828, 50000], [13408, 50000]]	,
[[28836, 50000], [13482, 50000]]	,
[[28835, 50000], [13289, 50000]]	,
[[28729, 50000], [13474, 50000]]	,
[[28878, 50000], [13500, 50000]]	,
[[28818, 50000], [13428, 50000]]	,
[[28942, 50000], [13463, 50000]]	,
[[28834, 50000], [13466, 50000]]	,
[[28528, 50000], [13383, 50000]]	,
[[28717, 50000], [13216, 50000]]	,
[[28797, 50000], [13466, 50000]]	,
[[28912, 50000], [13322, 50000]]	,
[[28664, 50000], [13442, 50000]]	,
[[28945, 50000], [13481, 50000]]	,
[[28757, 50000], [13319, 50000]]	,
[[28575, 50000], [13492, 50000]]	,
[[28729, 50000], [13454, 50000]]	,
[[28799, 50000], [13325, 50000]]	,
[[28846, 50000], [13355, 50000]]	,
[[28747, 50000], [13596, 50000]]	,
[[28779, 50000], [13548, 50000]]	,
[[28709, 50000], [13405, 50000]]	,
[[29011, 50000], [13378, 50000]]	,
[[28872, 50000], [13322, 50000]]	,
[[28689, 50000], [13453, 50000]]	,
[[28628, 50000], [13362, 50000]]	,
[[28801, 50000], [13313, 50000]]	,
[[28812, 50000], [13407, 50000]]	,
[[28904, 50000], [13482, 50000]]	,
[[28614, 50000], [13399, 50000]]	,
[[28807, 50000], [13247, 50000]]	,
[[28820, 50000], [13445, 50000]]	,
[[28670, 50000], [13293, 50000]]	,
[[28852, 50000], [13444, 50000]]	,
[[28922, 50000], [13476, 50000]]	,
[[28810, 50000], [13355, 50000]]	,
[[28775, 50000], [13471, 50000]]	,
[[28788, 50000], [13467, 50000]]	,
[[28846, 50000], [13399, 50000]]	,
[[28807, 50000], [13396, 50000]]	,
[[28981, 50000], [13482, 50000]]	,
[[28705, 50000], [13340, 50000]]	,
[[28942, 50000], [13494, 50000]]	,
[[28804, 50000], [13498, 50000]]	,
[[28789, 50000], [13323, 50000]]	,
[[28839, 50000], [13456, 50000]]	,
[[28727, 50000], [13546, 50000]]	,
[[28794, 50000], [13412, 50000]]	,
[[28802, 50000], [13523, 50000]]	,
[[28828, 50000], [13471, 50000]]	,
[[28698, 50000], [13328, 50000]]	,
[[28811, 50000], [13321, 50000]]	,
[[28748, 50000], [13497, 50000]]	,
[[28819, 50000], [13432, 50000]]	,
[[28861, 50000], [13353, 50000]]	,
[[28786, 50000], [13565, 50000]]	,
[[28739, 50000], [13529, 50000]]	,
[[28786, 50000], [13328, 50000]]	,
[[28749, 50000], [13432, 50000]]	,
[[28746, 50000], [13483, 50000]]	,
[[28809, 50000], [13469, 50000]]	,
[[28737, 50000], [13388, 50000]]	,
[[28728, 50000], [13477, 50000]]	,
[[28688, 50000], [13432, 50000]]	,
[[28801, 50000], [13370, 50000]]	,
[[28808, 50000], [13349, 50000]]	,
[[28878, 50000], [13541, 50000]]	,
[[28877, 50000], [13347, 50000]]	,
